d_m_Y_H_M_S,Temperature1,Temperature2
02_07_2020_00_00_00,0.0,1.0
02_07_2020_00_00_10,5.787037033806926e-05,0.9999999983255101
02_07_2020_00_00_20,0.00011574074048233181,0.9999999933020405
02_07_2020_00_00_30,0.00017361111023898098,0.9999999849295911
02_07_2020_00_00_40,0.00023148147941421003,0.999999973208162
02_07_2020_00_00_50,0.00028935184781421226,0.9999999581377532
02_07_2020_00_01_00,0.0003472222152451811,0.9999999397183648
02_07_2020_00_01_10,0.0004050925815133097,0.9999999179499969
02_07_2020_00_01_20,0.0004629629464247915,0.9999998928326493
02_07_2020_00_01_30,0.0005208333097858197,0.9999998643663225
02_07_2020_00_01_40,0.0005787036714025877,0.9999998325510163
02_07_2020_00_01_50,0.0006365740310812888,0.999999797386731
02_07_2020_00_02_00,0.0006944443886281163,0.9999997588734665
02_07_2020_00_02_10,0.0007523147438492637,0.999999717011223
02_07_2020_00_02_20,0.0008101850965509242,0.9999996718000008
02_07_2020_00_02_30,0.0008680554465392912,0.9999996232397999
02_07_2020_00_02_40,0.0009259257936205581,0.9999995713306205
02_07_2020_00_02_50,0.0009837961376009182,0.9999995160724627
02_07_2020_00_03_00,0.001041666478286565,0.9999994574653268
02_07_2020_00_03_10,0.001099536815483692,0.999999395509213
02_07_2020_00_03_20,0.001157407148998492,0.9999993302041215
02_07_2020_00_03_30,0.0012152774786371593,0.9999992615500523
02_07_2020_00_03_40,0.0012731478042058869,0.999999189547006
02_07_2020_00_03_50,0.001331018125510868,0.9999991141949824
02_07_2020_00_04_00,0.0013888884423582965,0.9999990354939822
02_07_2020_00_04_10,0.0014467587545543654,0.9999989534440055
02_07_2020_00_04_20,0.0015046290619052688,0.9999988680450523
02_07_2020_00_04_30,0.0015624993642172002,0.9999987792971233
02_07_2020_00_04_40,0.0016203696612963523,0.9999986872002187
02_07_2020_00_04_50,0.0016782399529489194,0.9999985917543386
02_07_2020_00_05_00,0.0017361102389810948,0.9999984929594835
02_07_2020_00_05_10,0.0017939805191990723,0.9999983908156537
02_07_2020_00_05_20,0.0018518507934090454,0.9999982853228494
02_07_2020_00_05_30,0.0019097210614172073,0.9999981764810711
02_07_2020_00_05_40,0.001967591323029752,0.9999980642903192
02_07_2020_00_05_50,0.0020254615780528735,0.9999979487505941
02_07_2020_00_06_00,0.0020833318262927654,0.999997829861896
02_07_2020_00_06_10,0.002141202067555621,0.9999977076242255
02_07_2020_00_06_20,0.002199072301647634,0.9999975820375828
02_07_2020_00_06_30,0.002256942528374998,0.9999974531019684
02_07_2020_00_06_40,0.0023148127475439077,0.9999973208173829
02_07_2020_00_06_50,0.002372682958960556,0.9999971851838265
02_07_2020_00_07_00,0.0024305531624311373,0.9999970462012998
02_07_2020_00_07_10,0.0024884233577618453,0.9999969038698032
02_07_2020_00_07_20,0.002546293544758874,0.9999967581893373
02_07_2020_00_07_30,0.0026041637232284164,0.9999966091599024
02_07_2020_00_07_40,0.0026620338929766677,0.9999964567814992
02_07_2020_00_07_50,0.0027199040538098216,0.999996301054128
02_07_2020_00_08_00,0.0027777742055340713,0.9999961419777894
02_07_2020_00_08_10,0.002835644347955612,0.999995979552484
02_07_2020_00_08_20,0.0028935144808806363,0.9999958137782122
02_07_2020_00_08_30,0.00295138460411534,0.9999956446549748
02_07_2020_00_08_40,0.003009254717465916,0.9999954721827722
02_07_2020_00_08_50,0.0030671248207385588,0.9999952963616049
02_07_2020_00_09_00,0.003124994913739463,0.9999951171914736
02_07_2020_00_09_10,0.003182864996274822,0.999994934672379
02_07_2020_00_09_20,0.0032407350681508307,0.9999947488043215
02_07_2020_00_09_30,0.003298605129173683,0.9999945595873019
02_07_2020_00_09_40,0.003356475179149574,0.9999943670213206
02_07_2020_00_09_50,0.0034143452178846973,0.9999941711063786
02_07_2020_00_10_00,0.003472215245185247,0.9999939718424762
02_07_2020_00_10_10,0.0035300852608574186,0.9999937692296142
02_07_2020_00_10_20,0.0035879552647074065,0.9999935632677934
02_07_2020_00_10_30,0.003645825256541404,0.9999933539570144
02_07_2020_00_10_40,0.0037036952361656074,0.9999931412972779
02_07_2020_00_10_50,0.0037615652033862095,0.9999929252885845
02_07_2020_00_11_00,0.0038194351580094063,0.9999927059309351
02_07_2020_00_11_10,0.003877305099841392,0.9999924832243304
02_07_2020_00_11_20,0.003935175028688361,0.999992257168771
02_07_2020_00_11_30,0.003993044944356509,0.9999920277642579
02_07_2020_00_11_40,0.00405091484665203,0.9999917950107917
02_07_2020_00_11_50,0.00410878473538112,0.9999915589083731
02_07_2020_00_12_00,0.004166654610349972,0.9999913194570031
02_07_2020_00_12_10,0.004224524471364782,0.9999910766566824
02_07_2020_00_12_20,0.004282394318231746,0.9999908305074118
02_07_2020_00_12_30,0.004340264150757057,0.9999905810091921
02_07_2020_00_12_40,0.004398133968746912,0.9999903281620243
02_07_2020_00_12_50,0.004456003772007505,0.9999900719659089
